,Date,RF,MaxT,MinT,RH-I,RH-II,C1,C2,SS,WD1,WD2,Disease,Index
0,01-10-08,88.2,31.0,21.0,96.7321,80.9334,8.0,8.0,0.0,247.0,315.0,3,3563
0,01-10-08,68.5,26.0,21.0,98.0,99.0,8.0,8.0,0.0,150.0,180.0,3,3556
0,01-10-08,77.0,30.2,20.5,92.0,87.0,8.0,8.0,7.8,140.0,240.0,3,3557
0,01-10-08,28.0,30.5,20.7,97.0,81.0,8.0,8.0,4.7,150.0,230.0,3,3558
0,01-10-08,21.7,30.0,20.0,100.0,81.0,8.0,8.0,6.3,100.0,81.0,3,3559
0,01-10-08,25.0,31.0,22.0,98.0,72.0,8.0,5.0,6.0,160.0,260.0,3,3560
0,01-10-08,78.7,27.5,21.2,100.0,83.0,8.0,8.0,0.2,220.0,290.0,3,3561
0,01-10-08,32.8,28.6,22.0,98.0,95.0,8.0,8.0,0.2,110.0,220.0,3,3562
0,01-10-08,11.9,31.2,21.6,91.8522,89.3698,8.0,8.0,0.0,292.0,314.0,3,3564
0,01-10-08,10.1,31.0,24.2,100.0,98.0,8.0,8.0,1.6,45.0,315.0,3,3536
0,01-10-08,36.0,30.0,23.0,98.0,94.0,8.0,8.0,2.0,135.0,225.0,3,3565
0,01-10-08,10.8,31.0,24.0,96.0,90.0,8.0,8.0,3.4,90.0,270.0,3,3566
0,01-10-08,10.1,30.6,23.5,97.0,94.0,8.0,8.0,4.0,315.0,225.0,3,3567
0,01-10-08,13.4,31.0,24.0,97.0,94.0,8.0,8.0,2.0,120.0,315.0,3,3568
0,01-10-08,42.0,31.5,24.2,98.0,95.0,8.0,8.0,3.4,67.0,135.0,3,3569
0,01-10-08,23.3,30.0,24.0,98.0,88.0,8.0,8.0,0.0,180.0,270.0,3,3570
0,01-10-08,46.4,30.2,23.5,98.0,82.0,8.0,8.0,2.0,45.0,45.0,3,3571
0,01-10-08,53.6,29.8,21.6,98.0,100.0,8.0,8.0,0.2,100.0,170.0,3,3555
0,01-10-08,31.6,29.0,22.0,100.0,82.0,8.0,8.0,1.0,90.0,230.0,3,3554
0,01-10-08,25.0,29.2,22.5,94.0,89.0,8.0,8.0,0.4,130.0,200.0,3,3553
0,01-10-08,6.8,30.0,22.1,98.0,78.0,8.0,8.0,4.3,70.0,280.0,3,3552
0,01-10-08,23.7,30.5,22.2,98.0,73.0,8.0,8.0,5.4,70.0,280.0,3,3537
0,01-10-08,44.8,30.7,22.0,95.0,80.0,8.0,8.0,7.0,100.0,220.0,3,3538
0,01-10-08,10.7,30.4,21.5,96.0,74.0,8.0,5.0,3.5,70.0,300.0,3,3539
0,01-10-08,7.6,31.0,22.0,95.0,78.0,8.0,8.0,6.2,100.0,290.0,3,3540
0,01-10-08,5.3,30.5,22.3,95.0,76.0,8.0,8.0,1.9,340.0,315.0,3,3541
0,01-10-08,9.3,27.0,21.2,98.0,73.0,8.0,8.0,8.3,110.0,310.0,3,3542
0,01-10-08,22.4,31.5,20.5,96.5515,74.7894,6.0,2.0,0.0,45.0,225.0,3,3543
0,01-10-08,33.0,27.8,22.0,98.0,98.0,8.0,8.0,0.0,180.0,280.0,3,3544
0,01-10-08,52.0,29.3,20.6,98.0,82.0,8.0,8.0,0.0,150.0,210.0,3,3545
0,01-10-08,74.0,29.2,21.0,98.0,92.0,8.0,8.0,1.8,170.0,100.0,3,3546
0,01-10-08,41.0,26.5,21.6,98.0,100.0,8.0,8.0,0.0,140.0,120.0,3,3547
0,01-10-08,58.0,27.8,21.7,100.0,96.0,8.0,8.0,0.0,100.0,200.0,3,3548
0,01-10-08,42.8,30.4,21.3,98.0,85.0,8.0,6.0,3.8,60.0,270.0,3,3549
0,01-10-08,76.0,30.0,21.0,97.0,82.0,8.0,8.0,2.0,100.0,220.0,3,3550
0,01-10-08,36.6,29.8,21.4,98.0,80.0,8.0,8.0,2.0,110.0,320.0,3,3551
0,01-10-08,82.1,26.5,21.6,100.0,100.0,8.0,8.0,0.0,130.0,180.0,3,3497
0,01-10-08,33.0,30.5,19.8,95.0,82.0,8.0,4.0,4.1,160.0,230.0,3,3495
0,01-10-08,27.6,27.2,23.2,98.0,79.0,7.0,6.0,0.5,210.0,210.0,3,3419
0,01-10-08,4.6,31.0,24.0,96.0,92.0,4.0,2.0,7.0,315.0,160.0,3,3446
0,01-10-08,17.8,27.5,22.8,88.0,77.0,6.0,6.0,2.4,210.0,210.0,3,3439
0,01-10-08,14.7,30.0,24.0,97.0,88.0,4.0,4.0,0.0,45.0,270.0,3,3440
0,01-10-08,25.6,27.9,22.3,98.0,77.0,7.0,2.0,5.4,160.0,210.0,3,3441
0,01-10-08,9.4,27.1,23.8,98.0,81.0,8.0,3.0,2.5,120.0,240.0,3,3442
0,01-10-08,78.4,32.0,21.0,97.0,93.0,8.0,8.0,0.9,50.0,225.0,3,3443
0,01-10-08,21.2,27.8,23.5,97.0,78.0,8.0,4.0,6.5,300.0,180.0,3,3444
0,01-10-08,11.8,30.0,24.0,98.0,90.0,6.0,5.0,7.0,225.0,135.0,3,3445
0,01-10-08,14.8,31.0,23.0,97.0,95.0,2.0,0.0,5.0,135.0,135.0,3,3447
0,01-10-08,4.6,29.0,23.5,96.6446,95.0741,8.0,6.0,0.0,270.0,315.0,3,3456
0,01-10-08,4.2,30.0,23.0,91.0,81.0,8.0,6.0,8.3,240.0,250.0,3,3448
0,01-10-08,62.0,28.5,22.5,94.9634,87.5452,8.0,8.0,0.0,135.0,270.0,3,3449
0,01-10-08,94.4,30.2,22.5,98.0,95.0,0.0,8.0,0.0,67.0,135.0,3,3450
0,01-10-08,9.4,29.0,22.0,90.5081,86.2706,1.0,1.0,3.0,270.0,315.0,3,3451
0,01-10-08,24.6,28.0,22.5,98.3084,95.0305,2.0,8.0,0.0,270.0,315.0,3,3452
0,01-10-08,68.2,26.5,21.5,94.8225,93.5693,6.0,2.0,0.0,315.0,315.0,3,3453
0,01-10-08,52.4,26.5,22.5,98.29299999999999,98.3084,6.0,8.0,0.0,45.0,315.0,3,3454
0,01-10-08,11.0,30.0,23.0,98.0,90.0,2.0,2.0,0.0,135.0,315.0,3,3438
0,01-10-08,97.3,29.0,19.0,100.0,100.0,4.0,4.0,0.0,60.0,225.0,3,3437
0,01-10-08,15.3,32.0,23.0,98.0,90.0,8.0,8.0,2.0,315.0,225.0,3,3436
0,01-10-08,154.2,30.0,23.0,98.0,96.0,8.0,8.0,5.4,120.0,315.0,3,3435
0,01-10-08,14.2,31.0,23.0,98.0,95.0,6.0,6.0,2.9,60.0,45.0,3,3420
0,01-10-08,32.5,27.0,23.2,98.0,80.0,6.0,6.0,3.5,120.0,240.0,3,3421
0,01-10-08,24.2,30.0,20.0,98.0,97.0,8.0,4.0,5.0,315.0,270.0,3,3422
